issue_family,source_file,line,nearest_preceding_label,text
CUTOFF,paper/collaboration/MAH_model_update_20260901/source/model_rebuild/08_required_propositions.tex,39,eq:p08-sorting-slope,therefore strictly positive. Continuity and endpoint crossing give existence
CUTOFF,paper/collaboration/MAH_model_update_20260901/source/model_rebuild/08_required_propositions.tex,46,eq:p08-sorting-slope,"The endpoint-crossing conditions are sufficient, not primitive conclusions."
PRICE,paper/collaboration/MAH_model_update_20260901/source/model_rebuild/08_required_propositions.tex,111,eq:p08-relevant-set,preserved and the relevant set becomes empty.
CUTOFF,paper/collaboration/MAH_model_update_20260901/source/model_rebuild/08_required_propositions.tex,196,eq:p08-manufacturing-response,"also makes the concavity channel strict. For \(0<\nu<1\), no sign is asserted"
TIES,paper/collaboration/MAH_model_update_20260901/source/model_rebuild/08_required_propositions.tex,259,eq:p08-class-gain,"commercial values, success probabilities, costs, or outside options. Only"
PRICE,paper/collaboration/MAH_model_update_20260901/source/model_rebuild/08_required_propositions.tex,375,eq:p08-scarcity-advancement-bounds,"perfectly elastic at a common \(\bar p_m\), then"
TIES,paper/collaboration/MAH_model_update_20260901/source/model_rebuild/08_required_propositions.tex,394,prop:p08-outcomes,probabilities \(s(q)\) and \(s_g(q)\) are exogenous and policy invariant.
TYPED,paper/collaboration/MAH_model_update_20260901/source/model_rebuild/08_required_propositions.tex,394,prop:p08-outcomes,probabilities \(s(q)\) and \(s_g(q)\) are exogenous and policy invariant.
TYPED,paper/collaboration/MAH_model_update_20260901/source/model_rebuild/08_required_propositions.tex,444,eq:p08-entrusted-outcome,  s_g(q)
TYPED,paper/collaboration/MAH_model_update_20260901/source/model_rebuild/08_required_propositions.tex,482,eq:p08-outcome-decomposition,unchanged. A class-specific outcome can have zero change while the other
TIES,paper/collaboration/MAH_model_update_20260901/source/model_rebuild/08_required_propositions.tex,493,eq:p08-outcome-decomposition,lets MAH directly change downstream realization probabilities.
TYPED,paper/collaboration/MAH_model_update_20260901/source/model_rebuild/08_required_propositions.tex,500,subsec:p08-scope,"logit route share, no class-specific advancement control, and no direct policy"
