"surface","scope","file","line","object","occurrence_in_line","matched_text","variant","category","canonical_meaning","direct_M_shift","context"
"appendix-module","baseline","01_primitives_and_timing.tex","70","M","1","M","M","primitive parameter","binary institutional regime","policy object","denotes the pre-MAH regime. The value \(M=1\) means that a developer may"
"appendix-module","baseline","01_primitives_and_timing.tex","72","M","1","M","M","primitive parameter","binary institutional regime","policy object","the product. Let \(\tau_E(M)\), measured in \(\mathsf C\) per project, denote"
"appendix-module","baseline","01_primitives_and_timing.tex","72","tau_E","1","\tau_E(M)","\tau_E(M)","primitive parameter","institutional barrier on retained entrusted route E","yes, through M only","the product. Let \(\tau_E(M)\), measured in \(\mathsf C\) per project, denote"
"appendix-module","baseline","01_primitives_and_timing.tex","76","tau_E","1","\tau_E","\tau_E","primitive parameter","institutional barrier on retained entrusted route E","yes, through M only","\tau_E(0)=+\infty,"
"appendix-module","baseline","01_primitives_and_timing.tex","78","tau_E","1","\tau_E","\tau_E","primitive parameter","institutional barrier on retained entrusted route E","yes, through M only","\tau_E(1)=\bar\tau_E<+\infty,"
"appendix-module","baseline","01_primitives_and_timing.tex","78","tau_E","2","\tau_E","\tau_E","primitive parameter","institutional barrier on retained entrusted route E","yes, through M only","\tau_E(1)=\bar\tau_E<+\infty,"
"appendix-module","baseline","01_primitives_and_timing.tex","80","tau_E","1","\tau_E","\tau_E","primitive parameter","institutional barrier on retained entrusted route E","yes, through M only","\bar\tau_E\geq0."
"appendix-module","baseline","01_primitives_and_timing.tex","94","tau_E","1","\tau_E","\tau_E","primitive parameter","institutional barrier on retained entrusted route E","yes, through M only","\(\tau_E(0)=+\infty\), which gives \(W_i^E=-\infty\) once route values are"
"appendix-module","baseline","01_primitives_and_timing.tex","94","W_E","1","W_i^E","W_i^E","endogenous route-level object","retained entrusted-manufacturing route value","through tau_E only","\(\tau_E(0)=+\infty\), which gives \(W_i^E=-\infty\) once route values are"
"appendix-module","baseline","01_primitives_and_timing.tex","98","M","1","M","M","primitive parameter","binary institutional regime","policy object","\(r_i^*(q,m;M,p_m)\), but route values and the argmax are deferred to"
"appendix-module","baseline","01_primitives_and_timing.tex","98","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","\(r_i^*(q,m;M,p_m)\), but route values and the argmax are deferred to"
"appendix-module","baseline","01_primitives_and_timing.tex","98","p_m","1","p_m","candidate-or-generic","equilibrium price / candidate price","qualified manufacturing-service capacity price","no","\(r_i^*(q,m;M,p_m)\), but route values and the argmax are deferred to"
"appendix-module","baseline","01_primitives_and_timing.tex","98","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\(r_i^*(q,m;M,p_m)\), but route values and the argmax are deferred to"
"appendix-module","baseline","01_primitives_and_timing.tex","104","x_i","1","x_i","control","control / optimized control","original-drug innovation investment / project-advancement intensity","through Omega_i only","Developer \(i\) chooses one common control \(x_i\geq0\), measured in"
"appendix-module","baseline","01_primitives_and_timing.tex","105","x_i","1","x_i","control","control / optimized control","original-drug innovation investment / project-advancement intensity","through Omega_i only","\(\mathsf X\). Canonically, \(x_i\) is"
"appendix-module","baseline","01_primitives_and_timing.tex","115","a_i","1","a_i","a_i","exogenous firm characteristic","research capability for viable planning-stage projects","no","\lambda_i^{\mathrm{plan}}=a_ix_i."
"appendix-module","baseline","01_primitives_and_timing.tex","115","a_i","2","a_i","a_i","exogenous firm characteristic","research capability for viable planning-stage projects","no","\lambda_i^{\mathrm{plan}}=a_ix_i."
"appendix-module","baseline","01_primitives_and_timing.tex","115","x_i","1","x_i","control","control / optimized control","original-drug innovation investment / project-advancement intensity","through Omega_i only","\lambda_i^{\mathrm{plan}}=a_ix_i."
"appendix-module","baseline","01_primitives_and_timing.tex","118","x_i","1","x_i","control","control / optimized control","original-drug innovation investment / project-advancement intensity","through Omega_i only","The control \(x_i\) has units \(\mathsf X\), so"
"appendix-module","baseline","01_primitives_and_timing.tex","119","a_i","1","a_i","a_i","exogenous firm characteristic","research capability for viable planning-stage projects","no","\(\lambda_i^{\mathrm{plan}}\) has units \(\mathsf P\)."
"appendix-module","baseline","01_primitives_and_timing.tex","121","p_m","1","p_m","candidate-or-generic","equilibrium price / candidate price","qualified manufacturing-service capacity price","no","Let \(p_m\), measured in \(\mathsf C/\mathsf B\), denote a conjectured price"
"appendix-module","baseline","01_primitives_and_timing.tex","122","p_m","1","p_m^*","equilibrium-starred","equilibrium price / candidate price","qualified manufacturing-service capacity price","no","of qualified manufacturing service and let \(p_m^*\) denote its future"
"appendix-module","baseline","01_primitives_and_timing.tex","123","a_i","1","a_i","a_i","exogenous firm characteristic","research capability for viable planning-stage projects","no","market-consistent value. Let \(\Omega_i(M,p_m)\), measured in \(\mathsf C\)"
"appendix-module","baseline","01_primitives_and_timing.tex","123","M","1","M","M","primitive parameter","binary institutional regime","policy object","market-consistent value. Let \(\Omega_i(M,p_m)\), measured in \(\mathsf C\)"
"appendix-module","baseline","01_primitives_and_timing.tex","123","Omega_i","1","\Omega_i","\Omega_i","endogenous firm-level object","expected optimized value per planning-stage project","indirect only","market-consistent value. Let \(\Omega_i(M,p_m)\), measured in \(\mathsf C\)"
"appendix-module","baseline","01_primitives_and_timing.tex","123","p_m","1","p_m","candidate-or-generic","equilibrium price / candidate price","qualified manufacturing-service capacity price","no","market-consistent value. Let \(\Omega_i(M,p_m)\), measured in \(\mathsf C\)"
"appendix-module","baseline","01_primitives_and_timing.tex","129","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","Finally, let \(s(q)\in[0,1]\) be the exogenous, route-independent probability"
"appendix-module","baseline","01_primitives_and_timing.tex","129","s(q)","1","s(q)","s(q)","primitive parameter/function","exogenous downstream realization probability","no","Finally, let \(s(q)\in[0,1]\) be the exogenous, route-independent probability"
"appendix-module","baseline","01_primitives_and_timing.tex","132","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\Pr\{\text{downstream realization}\mid q\}=s(q)."
"appendix-module","baseline","01_primitives_and_timing.tex","132","q","2","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\Pr\{\text{downstream realization}\mid q\}=s(q)."
"appendix-module","baseline","01_primitives_and_timing.tex","132","s(q)","1","s(q)","s(q)","primitive parameter/function","exogenous downstream realization probability","no","\Pr\{\text{downstream realization}\mid q\}=s(q)."
"appendix-module","baseline","01_primitives_and_timing.tex","135","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","The reform does not shift \(s(q)\). If typed observed outcomes later require a"
"appendix-module","baseline","01_primitives_and_timing.tex","135","s(q)","1","s(q)","s(q)","primitive parameter/function","exogenous downstream realization probability","no","The reform does not shift \(s(q)\). If typed observed outcomes later require a"
"appendix-module","baseline","01_primitives_and_timing.tex","136","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","class-specific probability \(s_g(q)\), it is likewise exogenous and"
"appendix-module","baseline","01_primitives_and_timing.tex","136","s(q)","1","s_g(q)","s_g(q)","primitive parameter/function","exogenous downstream realization probability","no","class-specific probability \(s_g(q)\), it is likewise exogenous and"
"appendix-module","baseline","01_primitives_and_timing.tex","143","M","1","M","M","primitive parameter","binary institutional regime","policy object","\item[Stage 0.] \textbf{Institutional regime.} The value of \(M\) is"
"appendix-module","baseline","01_primitives_and_timing.tex","149","a_i","1","a_i","a_i","exogenous firm characteristic","research capability for viable planning-stage projects","no","observes \((a_i,k_i,M)\), anticipates the market-consistent service price"
"appendix-module","baseline","01_primitives_and_timing.tex","149","k_i","1","k_i","k_i","exogenous firm characteristic","internal manufacturing capability","no","observes \((a_i,k_i,M)\), anticipates the market-consistent service price"
"appendix-module","baseline","01_primitives_and_timing.tex","149","M","1","M","M","primitive parameter","binary institutional regime","policy object","observes \((a_i,k_i,M)\), anticipates the market-consistent service price"
"appendix-module","baseline","01_primitives_and_timing.tex","150","p_m","1","p_m^*","equilibrium-starred","equilibrium price / candidate price","qualified manufacturing-service capacity price","no","\(p_m^*\) and future route opportunities, and chooses \(x_i\). Equation"
"appendix-module","baseline","01_primitives_and_timing.tex","150","x_i","1","x_i","control","control / optimized control","original-drug innovation investment / project-advancement intensity","through Omega_i only","\(p_m^*\) and future route opportunities, and chooses \(x_i\). Equation"
"appendix-module","baseline","01_primitives_and_timing.tex","155","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","project draws \((q,m)\) according to \eqref{eq:p01-project-draw}. The"
"appendix-module","baseline","01_primitives_and_timing.tex","155","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","project draws \((q,m)\) according to \eqref{eq:p01-project-draw}. The"
"appendix-module","baseline","01_primitives_and_timing.tex","160","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","\((q,m)\) and the manufacturing-service price, the project chooses a route"
"appendix-module","baseline","01_primitives_and_timing.tex","160","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\((q,m)\) and the manufacturing-service price, the project chooses a route"
"appendix-module","baseline","01_primitives_and_timing.tex","172","p_m","1","p_m^*","equilibrium-starred","equilibrium price / candidate price","qualified manufacturing-service capacity price","no","\(p_m^*\) that developers anticipated. This is a simultaneous equilibrium"
"appendix-module","baseline","01_primitives_and_timing.tex","177","a_i","1","a_i","a_i","exogenous firm characteristic","research capability for viable planning-stage projects","no","Stage~0 and may help explain predetermined \(a_i\). They are outside the"
"appendix-module","baseline","01_primitives_and_timing.tex","185","M","1","M","M","primitive parameter","binary institutional regime","policy object","M\longrightarrow \tau_E(M)"
"appendix-module","baseline","01_primitives_and_timing.tex","185","M","2","M","M","primitive parameter","binary institutional regime","policy object","M\longrightarrow \tau_E(M)"
"appendix-module","baseline","01_primitives_and_timing.tex","185","tau_E","1","\tau_E(M)","\tau_E(M)","primitive parameter","institutional barrier on retained entrusted route E","yes, through M only","M\longrightarrow \tau_E(M)"
"appendix-module","baseline","01_primitives_and_timing.tex","192","M","1","M","M","primitive parameter","binary institutional regime","policy object","M"
"appendix-module","baseline","01_primitives_and_timing.tex","196","a_i","1","a_i","a_i","exogenous firm characteristic","research capability for viable planning-stage projects","no","\Omega_i"
"appendix-module","baseline","01_primitives_and_timing.tex","196","Omega_i","1","\Omega_i","\Omega_i","endogenous firm-level object","expected optimized value per planning-stage project","indirect only","\Omega_i"
"appendix-module","baseline","01_primitives_and_timing.tex","198","x_i","1","x_i^*","optimized","control / optimized control","original-drug innovation investment / project-advancement intensity","through Omega_i only","x_i^*."
"appendix-module","baseline","01_primitives_and_timing.tex","204","x_i","1","x_i^*","optimized","control / optimized control","original-drug innovation investment / project-advancement intensity","through Omega_i only","x_i^*"
"appendix-module","baseline","01_primitives_and_timing.tex","219","a_i","1","a_i","a_i","exogenous firm characteristic","research capability for viable planning-stage projects","no","In particular, \(M\) does not directly change \(a_i\), \(k_i\), \(z_j\),"
"appendix-module","baseline","01_primitives_and_timing.tex","219","k_i","1","k_i","k_i","exogenous firm characteristic","internal manufacturing capability","no","In particular, \(M\) does not directly change \(a_i\), \(k_i\), \(z_j\),"
"appendix-module","baseline","01_primitives_and_timing.tex","219","M","1","M","M","primitive parameter","binary institutional regime","policy object","In particular, \(M\) does not directly change \(a_i\), \(k_i\), \(z_j\),"
"appendix-module","baseline","01_primitives_and_timing.tex","220","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","\(q\), \(m\), \(F\), \(\rho_g\), \(F_g\), \(s(q)\), or \(s_g(q)\). It does"
"appendix-module","baseline","01_primitives_and_timing.tex","220","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\(q\), \(m\), \(F\), \(\rho_g\), \(F_g\), \(s(q)\), or \(s_g(q)\). It does"
"appendix-module","baseline","01_primitives_and_timing.tex","220","q","2","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\(q\), \(m\), \(F\), \(\rho_g\), \(F_g\), \(s(q)\), or \(s_g(q)\). It does"
"appendix-module","baseline","01_primitives_and_timing.tex","220","q","3","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\(q\), \(m\), \(F\), \(\rho_g\), \(F_g\), \(s(q)\), or \(s_g(q)\). It does"
"appendix-module","baseline","01_primitives_and_timing.tex","220","s(q)","1","s(q)","s(q)","primitive parameter/function","exogenous downstream realization probability","no","\(q\), \(m\), \(F\), \(\rho_g\), \(F_g\), \(s(q)\), or \(s_g(q)\). It does"
"appendix-module","baseline","01_primitives_and_timing.tex","220","s(q)","2","s_g(q)","s_g(q)","primitive parameter/function","exogenous downstream realization probability","no","\(q\), \(m\), \(F\), \(\rho_g\), \(F_g\), \(s(q)\), or \(s_g(q)\). It does"
"appendix-module","baseline","01_primitives_and_timing.tex","221","p_m","1","p_m^*","equilibrium-starred","equilibrium price / candidate price","qualified manufacturing-service capacity price","no","not directly lower \(p_m^*\). Nothing in this section implies an increase in"
"appendix-module","baseline","02_demand_profit_derivation.tex","6","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","routes. It conditions on a project value shifter \(q>0\) and a positive"
"appendix-module","baseline","02_demand_profit_derivation.tex","9","p_m","1","p_m","candidate-or-generic","equilibrium price / candidate price","qualified manufacturing-service capacity price","no","from the qualified manufacturing-service price \(p_m\)."
"appendix-module","baseline","02_demand_profit_derivation.tex","22","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","y(p;q)=Aq p^{-\varepsilon},"
"appendix-module","baseline","02_demand_profit_derivation.tex","23","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\qquad A>0,\quad q>0,\quad \varepsilon>1."
"appendix-module","baseline","02_demand_profit_derivation.tex","26","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","The scale \(A\), project shifter \(q\), and elasticity \(\varepsilon\) are"
"appendix-module","baseline","02_demand_profit_derivation.tex","27","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","exogenous to the institutional regime. Conditional on \(q\) and \(c\), the"
"appendix-module","baseline","02_demand_profit_derivation.tex","33","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","Holding \(A,q,c,\varepsilon\) fixed, the derivative with respect to the"
"appendix-module","baseline","02_demand_profit_derivation.tex","75","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\pi(q,c)"
"appendix-module","baseline","02_demand_profit_derivation.tex","91","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\frac{\partial\pi(q,c)}{\partial q}"
"appendix-module","baseline","02_demand_profit_derivation.tex","91","q","2","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\frac{\partial\pi(q,c)}{\partial q}"
"appendix-module","baseline","02_demand_profit_derivation.tex","92","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","=\frac{\pi(q,c)}{q}>0,"
"appendix-module","baseline","02_demand_profit_derivation.tex","92","q","2","q","q","exogenous project characteristic","commercial/scientific value shifter","no","=\frac{\pi(q,c)}{q}>0,"
"appendix-module","baseline","02_demand_profit_derivation.tex","94","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\frac{\partial\pi(q,c)}{\partial c}"
"appendix-module","baseline","02_demand_profit_derivation.tex","95","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","=(1-\varepsilon)\frac{\pi(q,c)}{c}<0."
"appendix-module","baseline","02_demand_profit_derivation.tex","99","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","These are continuous conditional derivatives in \(q\) and \(c\), not a"
"appendix-module","baseline","02_demand_profit_derivation.tex","108","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\(\varphi\) is not the downstream realization probability \(s(q)\): the"
"appendix-module","baseline","02_demand_profit_derivation.tex","108","s(q)","1","s(q)","s(q)","primitive parameter/function","exogenous downstream realization probability","no","\(\varphi\) is not the downstream realization probability \(s(q)\): the"
"appendix-module","baseline","02_demand_profit_derivation.tex","115","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","R(q,c)"
"appendix-module","baseline","02_demand_profit_derivation.tex","116","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","&=\sum_{t=0}^{\infty}(\beta\varphi)^t\pi(q,c) \notag\\"
"appendix-module","baseline","02_demand_profit_derivation.tex","117","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","&=\frac{\pi(q,c)}{1-\beta\varphi},"
"appendix-module","baseline","02_demand_profit_derivation.tex","124","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\frac{\partial R(q,c)}{\partial q}"
"appendix-module","baseline","02_demand_profit_derivation.tex","124","q","2","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\frac{\partial R(q,c)}{\partial q}"
"appendix-module","baseline","02_demand_profit_derivation.tex","125","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","=\frac{R(q,c)}{q}>0,"
"appendix-module","baseline","02_demand_profit_derivation.tex","125","q","2","q","q","exogenous project characteristic","commercial/scientific value shifter","no","=\frac{R(q,c)}{q}>0,"
"appendix-module","baseline","02_demand_profit_derivation.tex","127","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\frac{\partial R(q,c)}{\partial c}"
"appendix-module","baseline","02_demand_profit_derivation.tex","128","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","=(1-\varepsilon)\frac{R(q,c)}{c}<0."
"appendix-module","baseline","02_demand_profit_derivation.tex","137","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\item As \(q\downarrow0\), both \(\pi(q,c)\) and \(R(q,c)\) converge to"
"appendix-module","baseline","02_demand_profit_derivation.tex","137","q","2","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\item As \(q\downarrow0\), both \(\pi(q,c)\) and \(R(q,c)\) converge to"
"appendix-module","baseline","02_demand_profit_derivation.tex","137","q","3","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\item As \(q\downarrow0\), both \(\pi(q,c)\) and \(R(q,c)\) converge to"
"appendix-module","baseline","02_demand_profit_derivation.tex","142","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","expectation and \(R(q,c)=\pi(q,c)\)."
"appendix-module","baseline","02_demand_profit_derivation.tex","142","q","2","q","q","exogenous project characteristic","commercial/scientific value shifter","no","expectation and \(R(q,c)=\pi(q,c)\)."
"appendix-module","baseline","02_demand_profit_derivation.tex","144","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\(R(q,c)\to\pi(q,c)/(1-\beta)\), which remains finite because"
"appendix-module","baseline","02_demand_profit_derivation.tex","144","q","2","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\(R(q,c)\to\pi(q,c)/(1-\beta)\), which remains finite because"
"appendix-module","baseline","02_demand_profit_derivation.tex","151","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","The object \(R(q,c)\) is gross operating present value. The marginal cost"
"appendix-module","baseline","02_demand_profit_derivation.tex","161","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","Nothing in this section gives MAH a direct effect on \(A\), \(q\),"
"appendix-module","baseline","03_internal_external_technologies.tex","9","M","1","M","M","primitive parameter","binary institutional regime","policy object","\(\tau_E(M)\)."
"appendix-module","baseline","03_internal_external_technologies.tex","9","tau_E","1","\tau_E(M)","\tau_E(M)","primitive parameter","institutional barrier on retained entrusted route E","yes, through M only","\(\tau_E(M)\)."
"appendix-module","baseline","03_internal_external_technologies.tex","14","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","For a project with manufacturing requirement \(m>0\) and a developer with"
"appendix-module","baseline","03_internal_external_technologies.tex","15","k_i","1","k_i","k_i","exogenous firm characteristic","internal manufacturing capability","no","internal manufacturing capability \(k_i>0\), let"
"appendix-module","baseline","03_internal_external_technologies.tex","17","k_i","1","k_i","k_i","exogenous firm characteristic","internal manufacturing capability","no","c_I(m,k_i)>0,"
"appendix-module","baseline","03_internal_external_technologies.tex","17","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","c_I(m,k_i)>0,"
"appendix-module","baseline","03_internal_external_technologies.tex","19","k_i","1","k_i","k_i","exogenous firm characteristic","internal manufacturing capability","no","c_{I,m}(m,k_i)>0,"
"appendix-module","baseline","03_internal_external_technologies.tex","19","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","c_{I,m}(m,k_i)>0,"
"appendix-module","baseline","03_internal_external_technologies.tex","19","m","2","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","c_{I,m}(m,k_i)>0,"
"appendix-module","baseline","03_internal_external_technologies.tex","21","k_i","1","k_i","k_i","exogenous firm characteristic","internal manufacturing capability","no","c_{I,k}(m,k_i)<0"
"appendix-module","baseline","03_internal_external_technologies.tex","21","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","c_{I,k}(m,k_i)<0"
"appendix-module","baseline","03_internal_external_technologies.tex","30","k_i","1","k_i","k_i","exogenous firm characteristic","internal manufacturing capability","no","cost \(F_I(m,k_i)\), measured in \(\mathsf C\). Let"
"appendix-module","baseline","03_internal_external_technologies.tex","30","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","cost \(F_I(m,k_i)\), measured in \(\mathsf C\). Let"
"appendix-module","baseline","03_internal_external_technologies.tex","31","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","\(\underline{k}(m)>0\) be the minimum capability needed for an internally"
"appendix-module","baseline","03_internal_external_technologies.tex","32","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","produced project with requirement \(m\). The feasibility convention is"
"appendix-module","baseline","03_internal_external_technologies.tex","35","k_i","1","k_i","k_i","exogenous firm characteristic","internal manufacturing capability","no","0\leq F_I(m,k_i)<+\infty,\quad"
"appendix-module","baseline","03_internal_external_technologies.tex","35","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","0\leq F_I(m,k_i)<+\infty,\quad"
