"phase","source_file","source_line","equation_label","section_label","subsection_label","explicit_equation_refs","equation_body"
"4","04_route_values_and_sorting.tex","178","eq:p04-cutoff-derivatives","sec:p04-route-sorting","subsec:p04-cutoff","","\begin{equation} \frac{\partial k^*}{\partial\tau_E} = -\frac{1}{\Delta_{IE,k}(k^*)}<0, \qquad \frac{\partial k^*}{\partial p_m} = -\frac{b(m)}{\Delta_{IE,k}(k^*)}<0. \label{eq:p04-cutoff-derivatives} \end{equation}"
"5","05_rd_problem.tex","23","eq:p05-planned-intensity","sec:p05-project-advancement","subsec:p05-technology","","\begin{equation} \lambda_i^{\mathrm{plan}}=a_ix_i. \label{eq:p05-planned-intensity} \end{equation}"
"5","05_rd_problem.tex","36","eq:p05-advancement-cost","sec:p05-project-advancement","subsec:p05-technology","","\begin{equation} C_X(x_i) = \frac{\kappa}{1+\nu}x_i^{1+\nu}, \qquad \kappa>0,\quad \nu>0. \label{eq:p05-advancement-cost} \end{equation}"
"5","05_rd_problem.tex","59","eq:p05-expected-value","sec:p05-project-advancement","subsec:p05-expected-value","","\begin{equation} \begin{aligned} \Omega_i(M,p_m) &= \mathbb E_F\!\left[ W_i(q,m;M,p_m) \right]\\ &= \int W_i(q,m;M,p_m)\,dF(q,m). \end{aligned} \label{eq:p05-expected-value} \end{equation}"
"5","05_rd_problem.tex","82","eq:p05-advancement-objective","sec:p05-project-advancement","subsec:p05-problem","","\begin{equation} \max_{x_i\geq0} \left\{ \beta a_ix_i\Omega_i(M,p_m) - \frac{\kappa}{1+\nu}x_i^{1+\nu} \right\}. \label{eq:p05-advancement-objective} \end{equation}"
"5","05_rd_problem.tex","98","eq:p05-kkt","sec:p05-project-advancement","subsec:p05-problem","","\begin{equation} \begin{gathered} x_i\geq0,\qquad \kappa x_i^\nu-\beta a_i\Omega_i(M,p_m)\geq0,\\ x_i\left[ \kappa x_i^\nu-\beta a_i\Omega_i(M,p_m) \right]=0. \end{gathered} \label{eq:p05-kkt} \end{equation}"
"5","05_rd_problem.tex","105","eq:p05-foc","sec:p05-project-advancement","subsec:p05-problem","","\begin{equation} \kappa x_i^\nu = \beta a_i\Omega_i(M,p_m). \label{eq:p05-foc} \end{equation}"
"5","05_rd_problem.tex","110","eq:p05-soc","sec:p05-project-advancement","subsec:p05-problem","","\begin{equation} -\kappa\nu x_i^{\nu-1}<0. \label{eq:p05-soc} \end{equation}"
"5","05_rd_problem.tex","125","eq:p05-optimal-advancement","sec:p05-project-advancement","subsec:p05-problem","","\begin{equation} x_i^*(M,p_m) = \left[ \frac{\beta a_i}{\kappa} \Omega_i(M,p_m) \right]^{1/\nu}. \label{eq:p05-optimal-advancement} \end{equation}"
"5","05_rd_problem.tex","148","eq:p05-binary-channel","sec:p05-project-advancement","subsec:p05-binary-channel","","\begin{equation} \Omega_i(1,p_m)-\Omega_i(0,p_m) = \int \left[ W_i(q,m;1,p_m)-W_i(q,m;0,p_m) \right]dF(q,m) \geq0. \label{eq:p05-binary-channel} \end{equation}"
"5","05_rd_problem.tex","188","eq:p05-value-gap","sec:p05-project-advancement","subsec:p05-value-gap","","\begin{equation} K_i=B_i+\Omega_i, \qquad K_i-B_i=\Omega_i. \label{eq:p05-value-gap} \end{equation}"
"5","05_rd_problem.tex","195","eq:p05-value-gap-foc","sec:p05-project-advancement","subsec:p05-value-gap","","\begin{equation} C_X'(x_i) = \beta a_i(K_i-B_i). \label{eq:p05-value-gap-foc} \end{equation}"
"6","06_cmo_supply_demand_equilibrium.tex","21","eq:p06-supplier-problem","sec:p06-cmo-market","subsec:p06-supply","","\begin{equation} \max_{s_j\geq0} \left\{ p_ms_j-\Psi(s_j;z_j) \right\}. \label{eq:p06-supplier-problem} \end{equation}"
"6","06_cmo_supply_demand_equilibrium.tex","40","eq:p06-supplier-capacity","sec:p06-cmo-market","subsec:p06-supply","","\begin{equation} p_m=\Psi_s\!\left(s_j^*(p_m,z_j);z_j\right). \label{eq:p06-supplier-capacity} \end{equation}"
"6","06_cmo_supply_demand_equilibrium.tex","53","eq:p06-capacity-derivatives","sec:p06-cmo-market","subsec:p06-supply","","\begin{equation} \frac{\partial s_j^*}{\partial p_m} = \frac{1}{\Psi_{ss}}>0, \qquad \frac{\partial s_j^*}{\partial z_j} = -\frac{\Psi_{sz}}{\Psi_{ss}}>0. \label{eq:p06-capacity-derivatives} \end{equation}"
"6","06_cmo_supply_demand_equilibrium.tex","61","eq:p06-aggregate-supply","sec:p06-cmo-market","subsec:p06-supply","","\begin{equation} S_m(p_m) = \int s_j^*(p_m,z)\,dH_C(z). \label{eq:p06-aggregate-supply} \end{equation}"
"6","06_cmo_supply_demand_equilibrium.tex","83","eq:p06-entrusted-capacity","sec:p06-cmo-market","subsec:p06-project-demand","","\begin{equation} \chi_i^E(p_m;M) = \int b(m) \mathbf 1 \left\{ r_i^*(q,m;M,p_m)=E \right\} dF(q,m). \label{eq:p06-entrusted-capacity} \end{equation}"
"6","06_cmo_supply_demand_equilibrium.tex","109","eq:p06-omega-price-envelope","sec:p06-cmo-market","subsec:p06-project-demand","","\begin{equation} \frac{\partial\Omega_i(M,p_m)}{\partial p_m} = -\chi_i^E(p_m;M) \leq0 \quad\text{almost everywhere in }p_m. \label{eq:p06-omega-price-envelope} \end{equation}"
"6","06_cmo_supply_demand_equilibrium.tex","119","eq:p06-advancement-price-response","sec:p06-cmo-market","subsec:p06-project-demand","","\begin{equation} \frac{\partial x_i^*(M,p_m)}{\partial p_m} = -\frac{x_i^*(M,p_m)} {\nu\Omega_i(M,p_m)} \chi_i^E(p_m;M) \leq0. \label{eq:p06-advancement-price-response} \end{equation}"
"6","06_cmo_supply_demand_equilibrium.tex","138","eq:p06-study-demand","sec:p06-cmo-market","subsec:p06-demand","","\begin{equation} D_m^{\mathrm{MAH}}(p_m;M) = \int a_ix_i^*(M,p_m)\chi_i^E(p_m;M) dH(a,k). \label{eq:p06-study-demand} \end{equation}"
"6","06_cmo_supply_demand_equilibrium.tex","168","eq:p06-total-demand","sec:p06-cmo-market","subsec:p06-demand","","\begin{equation} D_m(p_m;M) = D_m^B(p_m) + D_m^{\mathrm{MAH}}(p_m;M). \label{eq:p06-total-demand} \end{equation}"
"6","06_cmo_supply_demand_equilibrium.tex","178","eq:p06-market-clearing","sec:p06-cmo-market","subsec:p06-clearing","","\begin{equation} D_m(p_m^*;M)=S_m(p_m^*). \label{eq:p06-market-clearing} \end{equation}"
"6","06_cmo_supply_demand_equilibrium.tex","183","eq:p06-existence-boundaries","sec:p06-cmo-market","subsec:p06-clearing","","\begin{equation} D_m(0;M)\geq D_m^B(0)>0=S_m(0). \label{eq:p06-existence-boundaries} \end{equation}"
"7","07_equilibrium_definition.tex","18","eq:p07-equilibrium-collection","sec:p07-equilibrium","","","\begin{equation} \boxed{ \left\{ p_m^*,\; x_i^*,\; r_i^*(q,m),\; s_j^* \right\}_{i,j}} . \label{eq:p07-equilibrium-collection} \end{equation}"
"7","07_equilibrium_definition.tex","40","eq:p07-route-optimality","sec:p07-equilibrium","","","\begin{equation} r_i^*(q,m;M,p_m^*) \in \arg\max_{r\in\{I,E,T,A\}} \left\{ W_i^I(q,m), W_i^E(q,m;M,p_m^*), W^T(q,m), W^A \right\}, \label{eq:p07-route-optimality} \end{equation}"
"7","07_equilibrium_definition.tex","53","eq:p07-advancement-optimality","sec:p07-equilibrium","","","\begin{equation} x_i^*(M,p_m^*) = \left[ \frac{\beta a_i\Omega_i(M,p_m^*)}{\kappa} \right]^{1/\nu}, \label{eq:p07-advancement-optimality} \end{equation}"
"7","07_equilibrium_definition.tex","67","eq:p07-capacity-optimality","sec:p07-equilibrium","","","\begin{equation} s_j^*(p_m^*,z_j) \in \arg\max_{s_j\geq0} \left\{ p_m^*s_j-\Psi(s_j;z_j) \right\}. \label{eq:p07-capacity-optimality} \end{equation}"
"7","07_equilibrium_definition.tex","76","eq:p07-market-clearing","sec:p07-equilibrium","","","\begin{equation} D_m(p_m^*;M)=S_m(p_m^*). \label{eq:p07-market-clearing} \end{equation}"
"8","08_required_propositions.tex","26","eq:p08-sorting-slope","sec:p08-propositions","","","\begin{equation} \frac{\partial\Delta_{IE}(k_i;q,m,M,p_m)}{\partial k_i} = s(q)R_c(q,c_I)c_{I,k}(m,k_i)-F_{I,k}(m,k_i) >0. \label{eq:p08-sorting-slope} \end{equation}"
"8","08_required_propositions.tex","75","eq:p08-old-new-values","sec:p08-propositions","","","\begin{equation} W_i^0(q,m) = \max\{W_i^I(q,m),W^T(q,m),0\}, \qquad W_i^1(q,m;p_m) = \max\{W_i^0(q,m),W_i^E(q,m;1,p_m)\}. \label{eq:p08-old-new-values} \end{equation}"
"8","08_required_propositions.tex","82","eq:p08-positive-part-gain","sec:p08-propositions","","","\begin{equation} W_i^1(q,m;p_m)-W_i^0(q,m) = \left[W_i^E(q,m;1,p_m)-W_i^0(q,m)\right]_+. \label{eq:p08-positive-part-gain} \end{equation}"
"8","08_required_propositions.tex","90","eq:p08-relevant-set","sec:p08-propositions","","","\begin{equation} \mathcal C_i(p_m) = \left\{(q,m): W_i^E(q,m;1,p_m)>W_i^0(q,m)\right\}. \label{eq:p08-relevant-set} \end{equation}"
"8","08_required_propositions.tex","139","eq:p08-expected-gain","sec:p08-propositions","","","\begin{equation} \Delta\Omega_i(p_m) \equiv \Omega_i^1(p_m)-\Omega_i^0 = \int \left[W_i^E(q,m;1,p_m)-W_i^0(q,m)\right]_+ dF(q,m) \geq0. \label{eq:p08-expected-gain} \end{equation}"
"8","08_required_propositions.tex","151","eq:p08-advancement-change","sec:p08-propositions","","","\begin{equation} \Delta x_i(p_m) = \left(\frac{\beta a_i}{\kappa}\right)^{1/\nu} \left[ \left(\Omega_i^0+\Delta\Omega_i(p_m)\right)^{1/\nu} - \left(\Omega_i^0\right)^{1/\nu} \right]. \label{eq:p08-advancement-change} \end{equation}"
"8","08_required_propositions.tex","168","eq:p08-capability-response","sec:p08-propositions","","","\begin{equation} \frac{\partial\Delta x_i(p_m)}{\partial a_i} = \frac{\Delta x_i(p_m)}{\nu a_i} >0. \label{eq:p08-capability-response} \end{equation}"
"8","08_required_propositions.tex","189","eq:p08-manufacturing-response","sec:p08-propositions","","","\begin{equation} k_i'\geq k_i \quad\Longrightarrow\quad \Delta x_i(k_i';p_m) \leq \Delta x_i(k_i;p_m), \qquad \nu\geq1. \label{eq:p08-manufacturing-response} \end{equation}"
"8","08_required_propositions.tex","239","eq:p08-class-gain","sec:p08-propositions","","","\begin{equation} \Delta\Omega_{ig} = E_{F_g} \left[ \left(W_i^E-W_i^0\right)_+ \right], \qquad \Delta\Omega_i = \sum_{g\in\{O,\mathrm{Inc}\}}\rho_g\Delta\Omega_{ig}. \label{eq:p08-class-gain} \end{equation}"
"8","08_required_propositions.tex","279","eq:p08-excess-demand","sec:p08-propositions","","","\begin{equation} Z_M(p_m) = D_m(p_m;M)-S_m(p_m). \label{eq:p08-excess-demand} \end{equation}"
"8","08_required_propositions.tex","322","eq:p08-price-order","sec:p08-propositions","","","\begin{equation} p_m^1\geq p_m^0, \quad\text{with strict inequality if}\quad D_m^{\mathrm{MAH}}(p_m^0;1)>0. \label{eq:p08-price-order} \end{equation}"
"8","08_required_propositions.tex","350","eq:p08-scarcity-value-bounds","sec:p08-propositions","","","\begin{equation} 0 \leq \Delta\Omega_i^{\mathrm{eq}} \leq \Delta\Omega_i^{\mathrm{dir}}. \label{eq:p08-scarcity-value-bounds} \end{equation}"
"8","08_required_propositions.tex","367","eq:p08-scarcity-advancement-bounds","sec:p08-propositions","","","\begin{equation} 0 \leq \Delta x_i^{\mathrm{eq}} \leq \Delta x_i^{\mathrm{dir}}. \label{eq:p08-scarcity-advancement-bounds} \end{equation}"
"8","08_required_propositions.tex","402","eq:p08-planning-arrival","sec:p08-propositions","","","\begin{equation} \Lambda_i^{\mathrm{plan}} = a_ix_i^*. \label{eq:p08-planning-arrival} \end{equation}"
"8","08_required_propositions.tex","422","eq:p08-retained-outcome","sec:p08-propositions","","","\begin{equation} Y_i^{\mathrm{ret}} = a_ix_i^* \int s(q) \left[ \mathbf 1\{r_i^*=I\} + \mathbf 1\{r_i^*=E\} \right] dF(q,m). \label{eq:p08-retained-outcome} \end{equation}"
"8","08_required_propositions.tex","432","eq:p08-entrusted-outcome","sec:p08-propositions","","","\begin{equation} Y_i^E = a_ix_i^* \int s(q)\mathbf 1\{r_i^*=E\} dF(q,m). \label{eq:p08-entrusted-outcome} \end{equation}"
"8","08_required_propositions.tex","448","eq:p08-type-outcome","sec:p08-propositions","","","\begin{equation} Y_{ig}^{\mathrm{ret}} = a_ix_i^*\rho_g \int s_g(q) \left[ \mathbf 1\{r_i^*=I\} + \mathbf 1\{r_i^*=E\} \right] dF_g(q,m). \label{eq:p08-type-outcome} \end{equation}"
"8","08_required_propositions.tex","470","eq:p08-outcome-decomposition","sec:p08-propositions","","","\begin{equation} \Delta Y_i^{\mathrm{ret}} = a_i(x_i^1-x_i^0)Q_i^{\mathrm{ret},0} + a_ix_i^1 (Q_i^{\mathrm{ret},1}-Q_i^{\mathrm{ret},0}). \label{eq:p08-outcome-decomposition} \end{equation}"
"9","09_observed_outcomes.tex","22","eq:p09-outcome-hierarchy","sec:p09-outcomes","subsec:p09-hierarchy","","\begin{equation} \boxed{ \text{upstream research} \neq \text{project advancement} \neq \text{commercialization organization} \neq \text{realized product}.} \label{eq:p09-outcome-hierarchy} \end{equation}"
"9","09_observed_outcomes.tex","44","eq:p09-anticipated-chain","sec:p09-outcomes","subsec:p09-sequences","","\begin{equation} M \longrightarrow \text{anticipated availability and value of }E \longrightarrow \Omega_i \longrightarrow x_i^*. \label{eq:p09-anticipated-chain} \end{equation}"
"9","09_observed_outcomes.tex","57","eq:p09-realized-chain","sec:p09-outcomes","subsec:p09-sequences","","\begin{equation} x_i^* \longrightarrow \Lambda_i^{\mathrm{plan}} \longrightarrow r_i^* \longrightarrow \text{observed holder--producer separation} \longrightarrow \text{realized products}. \label{eq:p09-realized-chain} \end{equation}"
"9","09_observed_outcomes.tex","79","eq:p09-type-mixture","sec:p09-outcomes","subsec:p09-types","","\begin{equation} Y_{ig}^{\mathrm{ret}} = a_ix_i^*\rho_g \int s_g(q) \left[ \mathbf 1\{r_i^*=I\} + \mathbf 1\{r_i^*=E\} \right] dF_g(q,m). \label{eq:p09-type-mixture} \end{equation}"
"9","09_observed_outcomes.tex","103","eq:p09-identification-boundary","sec:p09-outcomes","subsec:p09-measurement","","\begin{equation} \left\{ x_i,\ a_i,\ s(q),\ \tau_E,\ \mu_E,\ p_m \right\}. \label{eq:p09-identification-boundary} \end{equation}"
"10","10_empirical_mapping.tex","180","eq:p10-anticipated-interface","sec:p10-mapping","subsec:p10-timing","","\begin{equation} M \longrightarrow \text{anticipated availability and value of }E \longrightarrow \Omega_i \longrightarrow x_i^*, \label{eq:p10-anticipated-interface} \end{equation}"
"10","10_empirical_mapping.tex","194","eq:p10-realized-interface","sec:p10-mapping","subsec:p10-timing","","\begin{equation} \begin{aligned} x_i^* &\longrightarrow \text{planning-stage projects} \longrightarrow r_i^* \\ &\longrightarrow \text{observed holder--producer separation} \longrightarrow \text{realized products}. \end{aligned} \label{eq:p10-realized-interface} \end{equation}"
