file,line,existing_text,required_action,write_gate
paper/model_notes/03_assumptions_and_scope.md,139,project-advancement intensity. It is broader than pure clinical-development,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/03_assumptions_and_scope.md,256,| `ARCH-05` | \(x_i\) has the v1.2 meaning and cannot be interpreted as patent applications or upstream research |,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/05_old_to_new_model_crosswalk.md,4,Controlling specification: paper/model_rebuild/spec/MAH_model_rebuild_effective_spec_v1.2.md  ,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/05_old_to_new_model_crosswalk.md,11,"the current user instruction, v1.2 correction, amendment v1.1, base execution",Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/05_old_to_new_model_crosswalk.md,76,| CW-20 | generic/original-drug R&D effort \(x_i\) | REINTERPRET per v1.2 as original-drug innovation investment / project-advancement intensity | 01 and 05 |,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/05_old_to_new_model_crosswalk.md,389,- New treatment: original-drug innovation investment / project-advancement,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/05_old_to_new_model_crosswalk.md,390,"  intensity, broader than pure clinical-development effort but not patent",Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/05_old_to_new_model_crosswalk.md,500,2. treat \(x_i\) as patent applications or pure clinical-development effort;,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/07_consistency_audit.md,62,| `x_i` | 139 | common original-drug innovation investment / project-advancement intensity; 81 control and 58 optimized occurrences | only through `Omega_i` | PASS; neither pure clinical effort nor patent-generating research |,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/07_consistency_audit.md,155,| patents / research | v1.2 terminology and empirical-boundary statements: explicitly outside baseline endogenous outcomes |,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/07_consistency_audit.md,165,- `x_i` is consistently broader than pure clinical-development effort but,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/07_consistency_audit.md,196,| 11 | Is `x_i` patent research or pure clinical effort? | No | v1.2 definition preserved |,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/07_specification_decision_log.md,5,| `DEC-SPEC-001` | Active user instruction > v1.2 > v1.1 > base note > legacy files | User-approved implementation plan | LOCKED |,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/07_specification_decision_log.md,7,| `DEC-SPEC-003` | `x_i` means original-drug innovation investment / project-advancement intensity | v1.2 correction | LOCKED |,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/07_specification_decision_log.md,8,| `DEC-SPEC-004` | `x_i` is broader than pure clinical effort but excludes patents and upstream discovery | v1.2 plus retained v1.1 boundary | LOCKED |,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/07_specification_decision_log.md,16,"| `DEC-SPEC-012` | Specification v1.2 checkpoint approved; create/push its unique commit, then begin Phase 1 only | User message, 2026-08-30T13:11:40.9653412+08:00 | APPROVED |",Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/08_shigu_empirical_boundary_check.md,74,"| `paper/manuscript/mah_route_indicator_friction_model.tex:78` | Defines `x_i` as original-drug R&D effort | Replace with the v1.2 definition: original-drug innovation investment / project-advancement intensity, broader than pure clinical effort but excluding upstream patent-generating research. |",Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_rebuild/01_primitives_and_timing.tex,106,\emph{original-drug innovation investment / project-advancement intensity}.,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_rebuild/01_primitives_and_timing.tex,108,commercialization-relevant route-planning stage.  It is broader than pure,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_rebuild/01_primitives_and_timing.tex,109,"clinical-development effort, but it is not basic research, basic-compound",Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_rebuild/05_rd_problem.tex,14,is original-drug innovation investment / project-advancement intensity. It is,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_rebuild/05_rd_problem.tex,15,"broader than pure clinical-development effort, but it is not patent",Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_rebuild/09_observed_outcomes.tex,24,Here \(x_i\) is original-drug innovation investment or,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_rebuild/09_observed_outcomes.tex,25,project-advancement intensity. It is broader than pure clinical-development,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_rebuild/10_empirical_mapping.tex,28,\textit{Meaning:} original-drug innovation investment or,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_rebuild/13_main_text_model_candidate.tex,61,investment / project-advancement intensity. It is broader than pure clinical,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_rebuild/14_appendix_model_candidate.tex,40,investment / project-advancement intensity. It is broader than pure clinical,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
