requirement_id,source_location,requirement,applicable_files,verification_method,current_status,evidence,approval_status
RL-22,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:74,22. Do **not** claim that MAH must increase patent applications.,active baseline; candidates; final manuscript,scope-aware semantic audit,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-23,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:75,23. Do **not** claim that MAH must increase upstream scientific research.,active baseline; candidates; final manuscript,scope-aware semantic audit,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-24,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:76,24. Do **not** impose that MAH must increase breakthrough/original innovation.,active baseline; candidates; final manuscript,scope-aware semantic audit,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-25,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:77,"25. Do **not** introduce separate controls \(x_i^R\) and \(x_i^D\), a binding financial constraint, or a research-versus-development resource-allocation block into the baseline without explicit approval.",active baseline; candidates; final manuscript,scope-aware semantic audit,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-26,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:78,26. Do **not** treat Shi Gu’s negative patent result as a contradiction of the commercialization mechanism; patents are outside the baseline endogenous outcome unless an explicit research extension is activated.,active baseline; candidates; final manuscript,scope-aware semantic audit,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-27,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:79,27. Do **not** force the model to predict that original-drug projects respond more strongly than incremental projects.,active baseline; candidates; final manuscript,scope-aware semantic audit,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-28,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:80,28. Do **not** redefine the paper as a financial-constraints paper.,active baseline; candidates; final manuscript,scope-aware semantic audit,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
AMD11-A,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:9-57,"## A. Add to Section 0 ""Mission"" — Precision on the Innovation Object",effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-B,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:58-68,"## B. Add to Section 1.2 ""Supporting References"" — Empirical Boundary Reference",effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-C,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:69-83,## C. Add New Red Lines to Section 2,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-D,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:84-150,"## D. Modify Section 5 ""Project Heterogeneity""",effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-E,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:151-184,## E. Modify Phase 1 Timing Language,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-F,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:185-287,## F. Modify Phase 5 — Rename the Entire Phase,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-G,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:288-314,## G. Modify the Akcigit-Style Value-Gap Foundation in Phase 5,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-H,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:315-359,## H. Modify Proposition 3,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-I,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:360-432,## I. Add a New Corollary after Proposition 3,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-J,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:433-508,## J. Modify Proposition 6 — Observed Outcomes,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-K,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:509-558,## K. Modify Phase 9 — Observed Outcomes and Data Boundary,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-L,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:559-592,## L. Modify Phase 10 — Empirical Mapping Table,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-M,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:593-641,## M. Modify Phase 11 — Extensions Not Baseline,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-N,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:642-655,## N. Modify Phase 12 — Old-to-New Model Crosswalk,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-O,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:656-696,## O. Modify Phase 13 — Equation Dependency Map,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-P,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:697-718,## P. Modify Phase 14 — Assumption Discipline,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-Q,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:719-730,## Q. Modify Phase 15 — Comparative-Static Proof Standards,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-R,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:731-754,## R. Modify Phase 16 — Main Text / Appendix Split,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-S,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:755-769,## S. Modify Phase 17 — Consistency Audit,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-T,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:770-783,## T. Modify Phase 18 — Manuscript Integration Rules,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-U,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:784-811,# U. Add a New Empirical Checkpoint Before Final Manuscript Integration,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-V,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:812-827,# V. Updated Definition of Success,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
AMD11-W,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:828-849,# W. Immediate Codex Action,effective specification; affected phase files,section-by-section amendment application + exact-source comparison,APPLIED_TO_SPEC,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md; construction record,Scope authorized; output gate pending
P01-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:275-384,"primitives, object classification, timing, symbols, initial dependency map",existing Phase 1 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,APPROVED,paper/model_rebuild/revision_20260907/audit/phase01_gate_report.md; static_audit_results.json; phase01_manual_audit.md; phase01_revision_review.log; spec/revision_20260907/approvals/phase01_approval.json,Yes — explicit phase01_approval.json
P01-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:275-384,v1.1 development-stage x_i; g classifier only; MAH route wedge only; define before use,Phase 1 gate,independent mathematical audit; static audit; actual compile; explicit user approval,APPROVED,paper/model_rebuild/revision_20260907/audit/phase01_gate_report.md; static_audit_results.json; phase01_manual_audit.md; phase01_revision_review.log; spec/revision_20260907/approvals/phase01_approval.json,Yes — explicit phase01_approval.json
P01-D02,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:370,- `01_primitives_and_timing.tex`,Phase 1 outputs,line-specific requirement inspection,APPROVED,paper/model_rebuild/revision_20260907/audit/phase01_gate_report.md; static_audit_results.json; phase01_manual_audit.md; phase01_revision_review.log; spec/revision_20260907/approvals/phase01_approval.json,Yes — explicit phase01_approval.json
P01-D03,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:371,- update `01_symbols_and_objects.md`,Phase 1 outputs,line-specific requirement inspection,APPROVED,paper/model_rebuild/revision_20260907/audit/phase01_gate_report.md; static_audit_results.json; phase01_manual_audit.md; phase01_revision_review.log; spec/revision_20260907/approvals/phase01_approval.json,Yes — explicit phase01_approval.json
P01-D04,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:372,- update `02_equation_dependency_map.md`,Phase 1 outputs,line-specific requirement inspection,APPROVED,paper/model_rebuild/revision_20260907/audit/phase01_gate_report.md; static_audit_results.json; phase01_manual_audit.md; phase01_revision_review.log; spec/revision_20260907/approvals/phase01_approval.json,Yes — explicit phase01_approval.json
P01-G02,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:378,- every symbol is classified;,Phase 1 outputs,line-specific requirement inspection,APPROVED,paper/model_rebuild/revision_20260907/audit/phase01_gate_report.md; static_audit_results.json; phase01_manual_audit.md; phase01_revision_review.log; spec/revision_20260907/approvals/phase01_approval.json,Yes — explicit phase01_approval.json
P01-G03,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:379,- no symbol appears before definition;,Phase 1 outputs,line-specific requirement inspection,APPROVED,paper/model_rebuild/revision_20260907/audit/phase01_gate_report.md; static_audit_results.json; phase01_manual_audit.md; phase01_revision_review.log; spec/revision_20260907/approvals/phase01_approval.json,Yes — explicit phase01_approval.json
P01-G04,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:380,- timing of R&D versus route choice is unambiguous;,Phase 1 outputs,line-specific requirement inspection,APPROVED,paper/model_rebuild/revision_20260907/audit/phase01_gate_report.md; static_audit_results.json; phase01_manual_audit.md; phase01_revision_review.log; spec/revision_20260907/approvals/phase01_approval.json,Yes — explicit phase01_approval.json
P01-G05,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:381,- no MAH effect other than the institutional route wedge has entered.,Phase 1 outputs,line-specific requirement inspection,APPROVED,paper/model_rebuild/revision_20260907/audit/phase01_gate_report.md; static_audit_results.json; phase01_manual_audit.md; phase01_revision_review.log; spec/revision_20260907/approvals/phase01_approval.json,Yes — explicit phase01_approval.json
P02-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:385-479,"demand, pricing FOC/SOC, pi(q,c), R(q,c)",existing Phase 2 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P02-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:385-479,dimension consistency; no unexplained reduced-form return or double counting,Phase 2 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
P02-D02,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:465,- `02_demand_profit_derivation.tex`,Phase 2 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P02-D03,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:466,- corresponding notation entries,Phase 2 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P02-D04,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:467,"- explicit derivation of FOC, SOC, and comparative derivatives.",Phase 2 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P02-G02,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:473,"- \(R(q,c)\) is fully derived;",Phase 2 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P02-G03,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:474,- no current reduced-form return object survives without an explicit crosswalk;,Phase 2 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P02-G04,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:475,- all cost accounting is dimensionally consistent;,Phase 2 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P02-G05,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:476,- no route-specific cost is counted twice.,Phase 2 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P03-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:480-613,internal/external technologies,existing Phase 3 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P03-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:480-613,I/E distinct; E retains holder rights; no MAH shift to a_i/q/s_g; no baseline eta,Phase 3 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
P03-D02,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:600,- `03_internal_external_technologies.tex`,Phase 3 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P03-D03,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:601,- explicit table mapping old objects to new primitives.,Phase 3 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P03-G02,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:607,- \(I\) and \(E\) are technologically and organizationally distinct;,Phase 3 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P03-G03,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:608,- \(E\) retains authorization/holder responsibility;,Phase 3 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P03-G04,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:609,- \(M\) changes only institutional feasibility/friction;,Phase 3 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P03-G05,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:610,- CMO scarcity is not yet treated as exogenous policy relief.,Phase 3 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P04-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:614-781,"route values, deterministic choice, sorting cutoff",existing Phase 4 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P04-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:614-781,T/A retained; cutoff existence/uniqueness/signs; no logit/inclusive value,Phase 4 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
P04-D02,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:767,- `04_route_values_and_sorting.tex`,Phase 4 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P04-D03,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:768,- proposition draft for organizational sorting,Phase 4 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
