requirement_id,source_location,effective_requirement,applicable_files,verification_method,current_status,evidence,approval_status
RL-20,"BASE §2, item 20",No welfare inference from private value or realized output,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-21,"AMD11 §C, item 21",x_i cannot be generic R&D that includes upstream patent-generating research,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-22,"AMD11 §C, item 22",Do not claim MAH must increase patent applications,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-23,"AMD11 §C, item 23",Do not claim MAH must increase upstream scientific research,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-24,"AMD11 §C, item 24",Do not impose that MAH must increase breakthrough/original innovation,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-25,"AMD11 §C, item 25","No x_i^R/x_i^D, binding finance constraint, or research-development allocation in baseline",all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-26,"AMD11 §C, item 26",Negative patent responses do not by themselves contradict the commercialization mechanism,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-27,"AMD11 §C, item 27",Do not force an original-project response larger than the incremental-project response,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-28,"AMD11 §C, item 28",Do not redefine the paper as a financial-constraints paper,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
AMD11-A,AMD11 §A,precision on x_i and the innovation object,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-B,AMD11 §B,Shi Gu empirical-boundary reference,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-C,AMD11 §C,red lines 21-28,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-D,AMD11 §D,novelty-class heterogeneity without a new control/state,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-E,AMD11 §E,Phase 1 timing language,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-F,AMD11 §F,"Phase 5 title, terminology, cost notation, and optimization",effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-G,AMD11 §G,Akcigit-style downstream value-gap interpretation,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-H,AMD11 §H,Proposition 3 title and interpretation,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-I,AMD11 §I,novelty-composition corollary,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-J,AMD11 §J,Proposition 6 planning and type-specific outcomes,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-K,AMD11 §K,observed-outcome hierarchy and data boundary,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-L,AMD11 §L,empirical mapping and timing-correct mechanism chains,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-M,AMD11 §M,research-versus-development extension boundary,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-N,AMD11 §N,old-to-new crosswalk additions,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-O,AMD11 §O,equation-dependency branches and exclusion,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-P,AMD11 §P,assumption discipline for novelty and patents,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-Q,AMD11 §Q,object-specific comparative-static interpretation,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-R,AMD11 §R,main-text/appendix terminology and boundary subsection,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-S,AMD11 §S,Phase 17 audit questions 11-16,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-T,AMD11 §T,Phase 18 manuscript-integration rules,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-U,AMD11 §U,Shi Gu empirical evidence checkpoint,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-V,AMD11 §V,success criteria 4-6 and 11-13,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD11-W,AMD11 §W,immediate amendment status and approval checkpoint,effective specification and named downstream phase files,unique-anchor patch plus operation-ledger audit,APPLIED,effective spec construction record; reports/AMENDMENT_v1.1_v1.2_STATUS.md,APPROVED
AMD12-01,v1.2 supplied image/transcription,x_i is original-drug innovation investment/project-advancement intensity; broader than pure clinical effort; not patents,"effective specification; Phase 1, 5, 8-10, 16-18 outputs","canonical-definition, negative-boundary, and mechanism-chain audit",APPLIED,spec/source/MAH_model_rebuild_correction_v1.2_transcription.md; effective spec §0,APPROVED
P01-D01,BASE formal Phase 1; active implementation plan,"primitives, object classification, timing, symbols, initial dependency map",Phase 1 formal outputs,file-existence and content-scope audit,APPROVED,"paper/model_rebuild/01_primitives_and_timing.tex; paper/model_notes/01_symbols_and_objects.md; paper/model_notes/02_equation_dependency_map.md; paper/model_notes/03_assumptions_and_scope.md; paper/model_rebuild/spec/approvals/phase01_approval.md",YES
P01-G01,BASE formal Phase 1 audit gate; active implementation plan,v1.2 x_i; g classifier only; MAH route wedge only; define before use,Phase 1 gate report,manual derivation audit + automated checks + compilation where applicable,APPROVED,"paper/model_rebuild/audit/phase01_gate_report.md; paper/model_rebuild/audit/phase01_audit_results.json; paper/model_rebuild/audit/phase01_compile_console.txt; paper/model_rebuild/spec/approvals/phase01_approval.md",YES
P02-D01,BASE formal Phase 2; active implementation plan,"demand, pricing FOC/SOC, pi(q,c), R(q,c)",Phase 2 formal outputs,file-existence and content-scope audit,APPROVED,"paper/model_rebuild/02_demand_profit_derivation.tex; paper/model_notes/01_symbols_and_objects.md; paper/model_notes/02_equation_dependency_map.md; paper/model_notes/03_assumptions_and_scope.md; paper/model_rebuild/spec/approvals/phase02_standing_authorization.md",YES
P02-G01,BASE formal Phase 2 audit gate; active implementation plan,dimension consistency; no unexplained reduced-form return or double counting,Phase 2 gate report,manual derivation audit + automated checks + compilation where applicable,APPROVED,"paper/model_rebuild/audit/phase02_gate_report.md; paper/model_rebuild/audit/phase02_independent_derivation.md; paper/model_rebuild/audit/phase02_audit_results.json; paper/model_rebuild/audit/phase02_compile_console.txt; paper/model_rebuild/spec/approvals/phase02_standing_authorization.md",YES
P03-D01,BASE formal Phase 3; active implementation plan,internal/external technologies,Phase 3 formal outputs,file-existence and content-scope audit,APPROVED,"paper/model_rebuild/03_internal_external_technologies.tex; paper/model_notes/01_symbols_and_objects.md; paper/model_notes/02_equation_dependency_map.md; paper/model_notes/03_assumptions_and_scope.md; paper/model_rebuild/spec/approvals/phase03_standing_authorization.md",YES
P03-G01,BASE formal Phase 3 audit gate; active implementation plan,I/E distinct; E retains holder rights; no MAH shift to a_i/q/s_g; no baseline eta,Phase 3 gate report,manual derivation audit + automated checks + compilation where applicable,APPROVED,"paper/model_rebuild/audit/phase03_gate_report.md; paper/model_rebuild/audit/phase03_independent_technology_audit.md; paper/model_rebuild/audit/phase03_audit_results.json; paper/model_rebuild/audit/phase03_compile_console.txt; paper/model_rebuild/spec/approvals/phase03_standing_authorization.md",YES
P04-D01,BASE formal Phase 4; active implementation plan,"route values, deterministic choice, sorting cutoff",Phase 4 formal outputs,file-existence and content-scope audit,APPROVED,"paper/model_rebuild/04_route_values_and_sorting.tex; paper/model_rebuild/audit/phase04_independent_derivation.md; paper/model_rebuild/spec/approvals/phase04_standing_authorization.md",YES
P04-G01,BASE formal Phase 4 audit gate; active implementation plan,T/A retained; cutoff existence/uniqueness/signs; no logit/inclusive value,Phase 4 gate report,manual derivation audit + automated checks + compilation where applicable,APPROVED,"paper/model_rebuild/audit/phase04_gate_report.md; paper/model_rebuild/audit/phase04_audit_results.json; paper/model_rebuild/spec/approvals/phase04_standing_authorization.md",YES
P05-D01,BASE formal Phase 5; active implementation plan,"project-advancement problem, FOC/SOC, value gap",Phase 5 formal outputs,file-existence and content-scope audit,APPROVED,"paper/model_rebuild/05_rd_problem.tex; paper/model_rebuild/audit/phase05_independent_derivation.md; paper/model_rebuild/spec/approvals/phase05_standing_authorization.md",YES
P05-G01,BASE formal Phase 5 audit gate; active implementation plan,C_X consistent; x_i boundary; MAH affects x_i only through Omega_i,Phase 5 gate report,manual derivation audit + automated checks + compilation where applicable,APPROVED,"paper/model_rebuild/audit/phase05_gate_report.md; paper/model_rebuild/audit/phase05_audit_results.json; paper/model_rebuild/spec/approvals/phase05_standing_authorization.md",YES
P06-D01,BASE formal Phase 6; active implementation plan,"CMO supply, demand, and market clearing",Phase 6 formal outputs,file-existence and content-scope audit,NOT_STARTED,—,NO
P06-G01,BASE formal Phase 6 audit gate; active implementation plan,route and x_i feedback; aggregate regularity; no unresolved circularity,Phase 6 gate report,manual derivation audit + automated checks + compilation where applicable,NOT_STARTED,—,NO
P07-D01,BASE formal Phase 7; active implementation plan,partial-equilibrium definition,Phase 7 formal outputs,file-existence and content-scope audit,NOT_STARTED,—,NO
P07-G01,BASE formal Phase 7 audit gate; active implementation plan,"only p_m^*, x_i^*, r_i^*, s_j^*; no other market closure",Phase 7 gate report,manual derivation audit + automated checks + compilation where applicable,NOT_STARTED,—,NO
P08-D01,BASE formal Phase 8; active implementation plan,six propositions and one novelty corollary,Phase 8 formal outputs,file-existence and content-scope audit,NOT_STARTED,—,NO
P08-G01,BASE formal Phase 8 audit gate; active implementation plan,assumptions/proofs/fixed objects/sufficient conditions/zero cases; no extra substantive proposition,Phase 8 gate report,manual derivation audit + automated checks + compilation where applicable,NOT_STARTED,—,NO
P09-D01,BASE formal Phase 9; active implementation plan,"planning, route, realization, type outcomes",Phase 9 formal outputs,file-existence and content-scope audit,NOT_STARTED,—,NO
P09-G01,BASE formal Phase 9 audit gate; active implementation plan,common x_i and rho_g F_g; no x_ig control; patents outside baseline outcome,Phase 9 gate report,manual derivation audit + automated checks + compilation where applicable,NOT_STARTED,—,NO
P10-D01,BASE formal Phase 10; active implementation plan,empirical mapping interface,Phase 10 formal outputs,file-existence and content-scope audit,NOT_STARTED,—,NO
P10-G01,BASE formal Phase 10 audit gate; active implementation plan,unit/grain/key/availability/identification limits; no invented data,Phase 10 gate report,manual derivation audit + automated checks + compilation where applicable,NOT_STARTED,—,NO
P11-D01,BASE formal Phase 11; active implementation plan,extensions file,Phase 11 formal outputs,file-existence and content-scope audit,NOT_STARTED,—,NO
P11-G01,BASE formal Phase 11 audit gate; active implementation plan,all extensions isolated from baseline,Phase 11 gate report,manual derivation audit + automated checks + compilation where applicable,NOT_STARTED,—,NO
P12-D01,BASE formal Phase 12; active implementation plan,old-to-new crosswalk,Phase 12 formal outputs,file-existence and content-scope audit,NOT_STARTED,—,NO
P12-G01,BASE formal Phase 12 audit gate; active implementation plan,trace every old-object dependency; legacy files remain read-only,Phase 12 gate report,manual derivation audit + automated checks + compilation where applicable,NOT_STARTED,—,NO
P13-D01,BASE formal Phase 13; active implementation plan,complete equation dependency map,Phase 13 formal outputs,file-existence and content-scope audit,NOT_STARTED,—,NO
P13-G01,BASE formal Phase 13 audit gate; active implementation plan,explicit p_m fixed point and solve order,Phase 13 gate report,manual derivation audit + automated checks + compilation where applicable,NOT_STARTED,—,NO
P14-D01,BASE formal Phase 14; active implementation plan,assumption blocks and proposition-assumption matrix,Phase 14 formal outputs,file-existence and content-scope audit,NOT_STARTED,—,NO
P14-G01,BASE formal Phase 14 audit gate; active implementation plan,primitive/derived/assumed distinction; no conclusion-as-assumption,Phase 14 gate report,manual derivation audit + automated checks + compilation where applicable,NOT_STARTED,—,NO
P15-D01,BASE formal Phase 15; active implementation plan,comparative statics and full derivation draft,Phase 15 formal outputs,file-existence and content-scope audit,NOT_STARTED,—,NO
P15-G01,BASE formal Phase 15 audit gate; active implementation plan,fixed/equilibrium price and finite/derivative distinctions; boundary tests; compile,Phase 15 gate report,manual derivation audit + automated checks + compilation where applicable,NOT_STARTED,—,NO
P16-D01,BASE formal Phase 16; active implementation plan,main-text and appendix candidates,Phase 16 formal outputs,file-existence and content-scope audit,NOT_STARTED,—,NO
P16-G01,BASE formal Phase 16 audit gate; active implementation plan,only from approved full draft; Shi Gu details page/table verified,Phase 16 gate report,manual derivation audit + automated checks + compilation where applicable,NOT_STARTED,—,NO
P17-D01,BASE formal Phase 17; active implementation plan,global consistency audit,Phase 17 formal outputs,file-existence and content-scope audit,NOT_STARTED,—,NO
P17-G01,BASE formal Phase 17 audit gate; active implementation plan,zero P0; candidate consistency; legacy manuscript unchanged,Phase 17 gate report,manual derivation audit + automated checks + compilation where applicable,NOT_STARTED,—,NO
P18-D01,BASE formal Phase 18; active implementation plan,scoped manuscript integration and final build,Phase 18 formal outputs,file-existence and content-scope audit,BLOCKED,—,NO
P18-G01,BASE formal Phase 18 audit gate; active implementation plan,separate approval; scoped diff; compile/label/reference/notation audit,Phase 18 gate report,manual derivation audit + automated checks + compilation where applicable,BLOCKED,—,NO
QA-PROOF-01,BASE §§26 and phase gates; active implementation plan,Independently rederive every FOC,all derivation modules,independent derivation record and phase gate evidence,NOT_STARTED,—,NO
QA-PROOF-02,BASE §§26 and phase gates; active implementation plan,Check SOC and all corner cases,all derivation modules,independent derivation record and phase gate evidence,NOT_STARTED,—,NO
QA-PROOF-03,BASE §§26 and phase gates; active implementation plan,Check dimensions/units,all derivation modules,independent derivation record and phase gate evidence,NOT_STARTED,—,NO
QA-PROOF-04,BASE §§26 and phase gates; active implementation plan,Check algebraic signs and sufficient conditions,all derivation modules,independent derivation record and phase gate evidence,NOT_STARTED,—,NO
QA-PROOF-05,BASE §§26 and phase gates; active implementation plan,State the differentiated object and held-fixed objects,all derivation modules,independent derivation record and phase gate evidence,NOT_STARTED,—,NO
QA-PROOF-06,BASE §§26 and phase gates; active implementation plan,Use finite comparisons for binary M,all derivation modules,independent derivation record and phase gate evidence,NOT_STARTED,—,NO
QA-PROOF-07,BASE §§26 and phase gates; active implementation plan,Distinguish fixed p_m from equilibrium p_m^*,all derivation modules,independent derivation record and phase gate evidence,NOT_STARTED,—,NO
QA-PROOF-08,BASE §§26 and phase gates; active implementation plan,Check all mandatory limiting cases,all derivation modules,independent derivation record and phase gate evidence,NOT_STARTED,—,NO
QA-PROOF-09,BASE §§26 and phase gates; active implementation plan,Verify fixed-point closure and regularity,all derivation modules,independent derivation record and phase gate evidence,NOT_STARTED,—,NO
QA-PROOF-10,BASE §§26 and phase gates; active implementation plan,Compile and audit labels/references,all derivation modules,independent derivation record and phase gate evidence,NOT_STARTED,—,NO
QA-ECON-01,BASE §27; AMD11; correction v1.2; active implementation plan,MAH enters baseline only through the institutional route wedge,"all theory, mapping, candidate, and integration outputs",economic-interpretation and evidence-boundary audit,NOT_STARTED,—,NO
QA-ECON-02,BASE §27; AMD11; correction v1.2; active implementation plan,Planning-stage objects are not confused with observed outcomes,"all theory, mapping, candidate, and integration outputs",economic-interpretation and evidence-boundary audit,NOT_STARTED,—,NO
QA-ECON-03,BASE §27; AMD11; correction v1.2; active implementation plan,Entrusted production is not ownership transfer,"all theory, mapping, candidate, and integration outputs",economic-interpretation and evidence-boundary audit,NOT_STARTED,—,NO
QA-ECON-04,BASE §27; AMD11; correction v1.2; active implementation plan,CMO price is endogenous wherever equilibrium values are used,"all theory, mapping, candidate, and integration outputs",economic-interpretation and evidence-boundary audit,NOT_STARTED,—,NO
QA-ECON-05,BASE §27; AMD11; correction v1.2; active implementation plan,Baseline and extension mechanisms remain separated,"all theory, mapping, candidate, and integration outputs",economic-interpretation and evidence-boundary audit,NOT_STARTED,—,NO
QA-ECON-06,BASE §27; AMD11; correction v1.2; active implementation plan,Empirical mapping does not overclaim primitive identification,"all theory, mapping, candidate, and integration outputs",economic-interpretation and evidence-boundary audit,NOT_STARTED,—,NO
QA-ECON-07,BASE §27; AMD11; correction v1.2; active implementation plan,Innovation terminology names the actual mathematical margin,"all theory, mapping, candidate, and integration outputs",economic-interpretation and evidence-boundary audit,NOT_STARTED,—,NO
QA-ECON-08,BASE §27; AMD11; correction v1.2; active implementation plan,Empirical/source claims are verified or explicitly UNVERIFIED,"all theory, mapping, candidate, and integration outputs",economic-interpretation and evidence-boundary audit,NOT_STARTED,—,NO
SUCCESS-01,Effective specification Definition of Success,MAH changes one defined institutional primitive,final candidates and Phase 18 manuscript,"final traceability, proof, economic, compile, and diff audit",NOT_STARTED,—,NO
SUCCESS-02,Effective specification Definition of Success,Internal and entrusted values derive from explicit technologies and profits,final candidates and Phase 18 manuscript,"final traceability, proof, economic, compile, and diff audit",NOT_STARTED,—,NO
SUCCESS-03,Effective specification Definition of Success,Organizational route choice is endogenous,final candidates and Phase 18 manuscript,"final traceability, proof, economic, compile, and diff audit",NOT_STARTED,—,NO
SUCCESS-04,Effective specification Definition of Success,MAH changes the value of advancing viable projects rather than all upstream R&D,final candidates and Phase 18 manuscript,"final traceability, proof, economic, compile, and diff audit",NOT_STARTED,—,NO
SUCCESS-05,Effective specification Definition of Success,Many project-firm pairs may have zero effect and novelty responses may differ,final candidates and Phase 18 manuscript,"final traceability, proof, economic, compile, and diff audit",NOT_STARTED,—,NO
SUCCESS-06,Effective specification Definition of Success,Strongest baseline firm response is high capability and manufacturing constrained; novelty ranking agnostic,final candidates and Phase 18 manuscript,"final traceability, proof, economic, compile, and diff audit",NOT_STARTED,—,NO
SUCCESS-07,Effective specification Definition of Success,CMO scarcity is an equilibrium attenuation mechanism,final candidates and Phase 18 manuscript,"final traceability, proof, economic, compile, and diff audit",NOT_STARTED,—,NO
SUCCESS-08,Effective specification Definition of Success,Model remains partial equilibrium and respects feasible identification,final candidates and Phase 18 manuscript,"final traceability, proof, economic, compile, and diff audit",NOT_STARTED,—,NO
SUCCESS-09,Effective specification Definition of Success,Baseline does not rely on logit option-value tautology,final candidates and Phase 18 manuscript,"final traceability, proof, economic, compile, and diff audit",NOT_STARTED,—,NO
SUCCESS-10,Effective specification Definition of Success,Comparative statics follow from interpretable primitives,final candidates and Phase 18 manuscript,"final traceability, proof, economic, compile, and diff audit",NOT_STARTED,—,NO
SUCCESS-11,Effective specification Definition of Success,Clinical development may rise while patent applications do not,final candidates and Phase 18 manuscript,"final traceability, proof, economic, compile, and diff audit",NOT_STARTED,—,NO
SUCCESS-12,Effective specification Definition of Success,Patent reallocation is outside baseline unless its extension is approved,final candidates and Phase 18 manuscript,"final traceability, proof, economic, compile, and diff audit",NOT_STARTED,—,NO
SUCCESS-13,Effective specification Definition of Success,"Empirical contribution remains commercialization organization, mismatch, and CMO scarcity",final candidates and Phase 18 manuscript,"final traceability, proof, economic, compile, and diff audit",NOT_STARTED,—,NO
